City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,goderich,43.7501,-81.7165,271.99,69,16,2.57,CA,1669944516
84,mahebourg,-20.4081,57.7,296.07,88,75,1.54,MU,1669944516
85,tuatapere,-46.1333,167.6833,284.94,55,67,5.96,NZ,1669944516
86,chicama,-7.8447,-79.1469,291.45,80,5,2.65,PE,1669944517
87,powell,40.1578,-83.0752,272.12,74,40,2.57,US,1669944469
88,kailua,21.4022,-157.7394,300.14,66,22,1.79,US,1669944307
89,lebu,-37.6167,-73.65,285.17,79,0,7.96,CL,1669944517
90,abbeville,50.1,1.8333,274.13,89,15,2.49,FR,1669944518
91,laizhou,37.1717,119.9214,270.89,32,99,3.0,CN,1669944518
92,narsaq,60.9167,-46.05,268.27,75,26,3.78,GL,1669944518
93,upernavik,72.7868,-56.1549,253.64,100,28,7.76,GL,1669944519
94,champerico,14.3,-91.9167,300.18,77,93,1.28,GT,1669944519
95,erdenet,49.0333,104.0833,250.83,99,100,0.79,MN,1669944519
96,kolondieba,11.0882,-6.8926,297.47,30,33,0.82,ML,1669944520
97,cayenne,4.9333,-52.3333,296.17,100,75,3.09,GF,1669944476
98,lewiston,44.1003,-70.2148,274.5,57,0,5.14,US,1669944520
99,quatre cocos,-20.2078,57.7625,295.98,77,82,2.9,MU,1669944521
100,ponta do sol,32.6667,-17.1,292.04,74,19,3.18,PT,1669944521
101,newberry,34.2746,-81.6187,278.27,87,85,2.23,US,1669944521
102,sao filipe,14.8961,-24.4956,296.28,65,100,5.73,CV,1669944522
103,nome,64.5011,-165.4064,268.24,93,100,5.66,US,1669944522
104,gravelbourg,49.8834,-106.5512,256.3,90,100,5.44,CA,1669944522
105,khatanga,71.9667,102.5,261.43,95,99,5.38,RU,1669944523
106,grindavik,63.8424,-22.4338,279.12,87,75,11.32,IS,1669944523
107,severo-kurilsk,50.6789,156.125,271.81,72,90,5.64,RU,1669944524
108,udachnyy,66.4167,112.4,243.95,74,100,2.15,RU,1669944524
109,zhigansk,66.7697,123.3711,244.5,98,100,3.61,RU,1669944524
110,yatou,37.15,122.3833,273.22,52,4,1.93,CN,1669944525
111,banjar,-8.19,114.9675,301.66,66,83,2.37,ID,1669944525
112,belen,36.4891,36.2233,279.23,100,20,0.0,TR,1669944525
113,sabang,5.8933,95.3214,300.02,75,100,4.82,ID,1669944526
114,honningsvag,70.9821,25.9704,276.01,100,100,0.0,NO,1669944526
115,airai,-8.9266,125.4092,295.55,50,61,0.67,TL,1669944526
116,dikson,73.5069,80.5464,270.24,97,100,6.73,RU,1669944527
117,tigre,-34.426,-58.5796,294.4,68,0,4.12,AR,1669944527
118,altamont,42.2068,-121.7372,270.06,86,100,5.66,US,1669944515
119,bandarbeyla,9.4942,50.8122,298.44,78,85,7.18,SO,1669944527
120,lompoc,34.6391,-120.4579,286.23,94,100,5.14,US,1669944528
121,mar del plata,-38.0023,-57.5575,289.16,89,75,3.58,AR,1669944450
122,butaritari,3.0707,172.7902,300.78,75,10,8.73,KI,1669944528
123,leningradskiy,69.3833,178.4167,271.21,84,100,3.76,RU,1669944529
124,tandil,-37.3217,-59.1332,286.31,74,100,4.64,AR,1669944529
